search_role,job_title,company_name,experience,location,skills,posted_date,job_link
Data Scientist,Data Scientist,Kiya.ai,4-6 Yrs,"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)","Python, Pytorch, Tensorflow, MPT, Hedge Funds, CAPM, Fintech, Asset Management",3 days ago,https://www.naukri.com/job-listings-data-scientist-kiya-ai-mumbai-suburban-navi-mumbai-mumbai-all-areas-4-to-6-years-300326004105
Data Scientist,Data Scientist,Rakuten Symphony,3-8 Yrs,Hybrid - Bengaluru,"Generative Ai, Machine Learning, Timeseries Databases, Pyspark, python, Hadoop Spark, LLM, Hadoop",6 days ago,https://www.naukri.com/job-listings-data-scientist-rakuten-symphony-bengaluru-3-to-8-years-270326036092
Data Scientist,Data Scientist,Optum,3-8 Yrs,Hyderabad,"data scientist, time series analysis, python, neural networks, databricks, microsoft azure, llm, machine learning",1 day ago,https://www.naukri.com/job-listings-data-scientist-optum-global-solutions-india-private-limited-hyderabad-3-to-8-years-020426926976
Data Scientist,Data Scientist,Tata Consultancy Services,6-11 Yrs,"Hyderabad, Bengaluru","Data Science, Machine Learning, Python, Science, Data, Machine",1 week ago,https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-hyderabad-bengaluru-6-to-11-years-250326036371
Data Scientist,Data Scientist,Infosys,5-9 Yrs,"Hybrid - Hyderabad, Pune, Bengaluru","Data Science, Natural Language Processing, Neural Networks, Computer Vision, Python, Langchain, Langgraph, Artificial Intelligence",1 day ago,https://www.naukri.com/job-listings-data-scientist-infosys-hyderabad-pune-bengaluru-5-to-9-years-020426027443
Data Scientist,Data Scientist,Capgemini,4-8 Yrs,Bengaluru,"Data Engineering, python, software development, software design, workflow orchestration, ai, databricks, llm",6 days ago,https://www.naukri.com/job-listings-data-scientist-capgemini-technology-services-india-limited-bengaluru-4-to-8-years-270326921573
Data Scientist,Data Scientist || Immediate Opportunity,Valuelabs,5-10 Yrs,Hyderabad,"Data Science, Gen AI, Aiml, RAG, Python, Artificial Intelligence, Machine Learning, Intelligence",1 day ago,https://www.naukri.com/job-listings-data-scientist-immediate-opportunity-valuelabs-hyderabad-5-to-10-years-020426021299
Data Scientist,Data Scientist,Siemens,10-15 Yrs,Bengaluru,"data scientist, time series analysis, snowflake, python, github, project management, ai, databricks",6 days ago,https://www.naukri.com/job-listings-data-scientist-siemens-limited-bengaluru-10-to-15-years-270326915025
Data Scientist,Analyst - Data Scientist Machine Learning,United Airlines,2-5 Yrs,Gurugram,"python, natural language processing, neural networks, machine learning, artificial intelligence, sql, analytics, deep learning",1 day ago,https://www.naukri.com/job-listings-analyst-data-scientist-machine-learning-united-airlines-gurugram-2-to-5-years-010426017054
Data Scientist,Data Scientist,WNS Holdings,6-11 Yrs,Bengaluru,"Data Science, Predictive Modeling, Aiml, Cloud Platform, Python, Artificial Intelligence, Rest Api Development, Fast Api",2 days ago,https://www.naukri.com/job-listings-data-scientist-wns-holdings-bengaluru-6-to-11-years-190226036865
Data Scientist,Data Scientist III- Insights & Data Products,Expedia,5-10 Yrs,Bengaluru,"Career development, Scientist III, data science, Talent acquisition, Analytical, Machine learning, Business strategy, data visualization",2 days ago,https://www.naukri.com/job-listings-data-scientist-iii-insights-data-products-expedia-group-bengaluru-5-to-10-years-310326501797
Data Scientist,Data Scientist,Infosys,6-11 Yrs,Pune,"Artificial Intelligence, Python, Natural Language Processing, Machine Learning, Ml, Processing, Machine, Process",1 week ago,https://www.naukri.com/job-listings-data-scientist-infosys-pune-6-to-11-years-100326028791
Data Scientist,Data Scientist-Artificial Intelligence,IBM,7-9 Yrs,Bengaluru,"data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap",1 week ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-7-to-9-years-250326931521
Data Scientist,"Data Scientist, Amazon FinAuto",Amazon,2-7 Yrs,Hyderabad,"SAS, GCP, Analytical, Machine learning, Agile, Natural language processing, SPSS, MATLAB",2 days ago,https://www.naukri.com/job-listings-data-scientist-amazon-finauto-amazon-development-centre-india-pvt-ltd-hyderabad-2-to-7-years-310326501193
Data Scientist,Data Scientist - Hyderabad/Chennai,Tata Consultancy Services,4-9 Yrs,"Hyderabad, Chennai, Delhi / NCR","Data Science, Tensorflow, Artificial Intelligence, Natural Language Processing, Machine Learning, Deep Learning, Scikit-Learn, Python",1 day ago,https://www.naukri.com/job-listings-data-scientist-hyderabad-chennai-tata-consultancy-services-hyderabad-chennai-delhi-ncr-4-to-9-years-020426020034
Data Scientist,Data Scientist - F2F discussion - Bhubaneswar,Tata Consultancy Services,4-9 Yrs,Bhubaneswar,"Data Science, Tensorflow, Artificial Intelligence, Natural Language Processing, Machine Learning, Deep Learning, Python, Languages",6 days ago,https://www.naukri.com/job-listings-data-scientist-f2f-discussion-bhubaneswar-tata-consultancy-services-bhubaneswar-4-to-9-years-270326034357
Data Scientist,Data Scientist - Mining Business,Adani Group,3-7 Yrs,Ahmedabad,"Data Science, Data Visualization, Mining, Geological Data Analytics, Geology, Data Analytics, Reporting, Analytics",1 week ago,https://www.naukri.com/job-listings-data-scientist-mining-business-adani-group-ahmedabad-3-to-7-years-170326035805
Data Scientist,Walk-in || Data Scientist--AIML/GenAI/MLOPS,Capgemini,,,"Huggingface, NLP, MLOPs, Generative Ai, Artificial Intelligence, Machine Learning, Natural language processing, Intelligence",4 days ago,https://www.naukri.com/job-listings-data-scientist-aiml-genai-mlops-capgemini-kolkata-pune-6-to-11-years-290326004616
Data Scientist,Data Scientist - Gen AI + NLP & ML,Tiger Analytics,4-9 Yrs,Hybrid - Chennai,"Generative Ai, NLP, Machine Learning, Python, SQL, Data Science, Gen AI, Artificial Intelligence",6 days ago,https://www.naukri.com/job-listings-data-scientist-gen-ai-nlp-ml-tiger-analytics-chennai-4-to-9-years-230226011427
Data Scientist,LEAD DATA SCIENTIST - Machine Learning,Happiest Minds Technologies,8-10 Yrs,Bengaluru,"Computer science, PMP, Team management, Project management, Analytical, Machine learning, Software development life cycle, Scrum",1 week ago,https://www.naukri.com/job-listings-lead-data-scientist-machine-learning-happiest-minds-technologies-pvt-ltd-bengaluru-8-to-10-years-250326509674
Data Scientist,Enabling Areas - IT - Deputy Manager - Data Scientist - NLP/Gen AI,Deloitte Consulting,5-10 Yrs,Mumbai,"Computer science, Data analysis, orchestration, Neural networks, Analytical, Machine learning, System design, Research",1 week ago,https://www.naukri.com/job-listings-enabling-areas-it-deputy-manager-data-scientist-nlp-gen-ai-deloitte-mumbai-5-to-10-years-200326502850
Data Scientist,Data Scientist,Movate Technologies,5-8 Yrs,Hybrid - Bengaluru,"Artificial Intelligence, Machine Learning, Python, Ml, Machine, Intelligence, Data",3 days ago,https://www.naukri.com/job-listings-data-scientist-movate-technologies-bengaluru-5-to-8-years-230326015841
Data Scientist,Data Scientist,Tata Consultancy Services,8-12 Yrs,"Hyderabad, Bengaluru, Mumbai (All Areas)","Machine Learning, Python, Data Science, Pyspark, Artificial Intelligence, Science, Intelligence, Data",1 day ago,https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-hyderabad-bengaluru-mumbai-all-areas-8-to-12-years-020426010346
Data Scientist,"Data Scientist, Alexa Connections",Amazon,3-8 Yrs,Bengaluru,"Data analysis, Product engineering, Publishing, SAS, Machine learning, Perl, Continuous improvement, MATLAB",1 day ago,https://www.naukri.com/job-listings-data-scientist-alexa-connections-amazon-development-centre-india-pvt-ltd-bengaluru-3-to-8-years-010426502889
Data Scientist,Data Scientist - Service Parts Supply Chain,Philips,10-15 Yrs,Bengaluru,"Supply chain, Supply chain management, ERP, Performance management, Project management, Process improvement, Business analytics, Healthcare",1 day ago,https://www.naukri.com/job-listings-data-scientist-service-parts-supply-chain-philips-india-limited-bengaluru-10-to-15-years-020426508504
Data Scientist,Data Scientist,Birlasoft,8-13 Yrs,Hyderabad,"Performance tuning, Pharma, Machine learning, data governance, Data processing, Data quality, SDLC, Analytics",1 day ago,https://www.naukri.com/job-listings-data-scientist-birlasoft-india-limited-hyderabad-8-to-13-years-020426509483
Data Scientist,Data Scientist ( Immediate Joiners only ),Fornax,3-6 Yrs,Hybrid - Mumbai (All Areas),"Promotions, Pricing Analytics, Statistical Modeling, Data Science, Predictive Modeling, Machine Learning, Data, Pricing",1 day ago,https://www.naukri.com/job-listings-data-scientist-immediate-joiners-only-fornax-mumbai-all-areas-3-to-6-years-140226011884
Data Scientist,Data Scientist-Artificial Intelligence,IBM,3-7 Yrs,Kochi,"data scientist, python, ai solutions, ai frameworks, ai, cloud platforms, machine learning, artificial intelligence",1 day ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-kochi-3-to-7-years-020426921867
Data Scientist,Data Scientist-Artificial Intelligence,IBM,3-7 Yrs,Bengaluru,"data scientist, python, ai solutions, ai frameworks, ai, cloud platforms, machine learning, artificial intelligence",1 day ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-020426921844
Data Scientist,Data Scientist-Artificial Intelligence,IBM,5-10 Yrs,Gurugram,"data scientist, python, ai solutions, ai frameworks, ai, cloud platforms, machine learning, artificial intelligence",1 day ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-gurugram-5-to-10-years-020426929312
Data Scientist,Data Scientist,Narayana Health (NH),1-3 Yrs,Hybrid - Bengaluru,"Tensorflow, Machine Learning, Python, Artificial Intelligence, Deep Learning, SQL, Machine, Intelligence",1 day ago,https://www.naukri.com/job-listings-data-scientist-narayana-health-nh-bengaluru-1-to-3-years-010426015191
Data Scientist,Data Scientist AI/ML,Aziro,7-8 Yrs,Bengaluru,"Computer science, NoSQL, Architecture, Postgresql, MySQL, Machine learning, Presales, MongoDB",1 day ago,https://www.naukri.com/job-listings-data-scientist-ai-ml-msys-tech-india-pvt-ltd-bengaluru-7-to-8-years-010426502858
Data Scientist,Data Scientist-Artificial Intelligence,IBM,5-7 Yrs,Bengaluru,"data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap",1 day ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-5-to-7-years-020426929466
Data Scientist,"Data Scientist, Alexa Connections",Amazon,3-8 Yrs,Chennai,"Data analysis, Product engineering, Publishing, SAS, Machine learning, Perl, Continuous improvement, MATLAB",1 day ago,https://www.naukri.com/job-listings-data-scientist-alexa-connections-amazon-development-centre-india-pvt-ltd-chennai-3-to-8-years-010426502947
Data Scientist,Data Scientist-Artificial Intelligence,IBM,8-13 Yrs,Mumbai,"data scientist, kubernetes, prototyping, react, bootstrap, artificial intelligence, jquery, sql",1 day ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-mumbai-8-to-13-years-020426921944
Data Scientist,Founding Data Scientist / Data Science Lead,Greedygame Media,15-20 Yrs,Bengaluru,"SIDE, Trade, Usage, data science, Analytical, Subject Matter Expert, Gaming, Statistics",1 day ago,https://www.naukri.com/job-listings-founding-data-scientist-data-science-lead-greedygame-bengaluru-15-to-20-years-010426504247
Data Scientist,Data Scientist,Cyient,4-8 Yrs,Bengaluru,"cd, continuous integration, kubernetes, python, functional, mitigation, analytical, mathematics",1 week ago,https://www.naukri.com/job-listings-data-scientist-cyient-limited-bengaluru-4-to-8-years-230326021987
Data Scientist,Data Scientist,Optum,3-8 Yrs,Bengaluru,"data scientist, kubernetes, python, natural language processing, data mining, ai, data warehousing, llm",1 day ago,https://www.naukri.com/job-listings-data-scientist-optum-global-solutions-india-private-limited-bengaluru-3-to-8-years-020426931433
Data Scientist,Analyst - Data Scientist Machine Learning,EDGE Executive Search,4-9 Yrs,Gurugram,"Operations research, Aviation, Storage management, Machine learning, Data structures, Cost benefit analysis, Monitoring, Testing",1 day ago,https://www.naukri.com/job-listings-analyst-data-scientist-machine-learning-edge-executive-search-pvt-ltd-gurugram-4-to-9-years-020426503528
Data Scientist,Workforce Planning - Data Analyst / Data Scientist / AI / ML,Optum,3-8 Yrs,Gurugram,"data analyst, python, data pipelines, supply chain, forecasting, ai, power bi, sql",1 day ago,https://www.naukri.com/job-listings-workforce-planning-data-analyst-data-scientist-ai-ml-optum-global-solutions-india-private-limited-gurugram-3-to-8-years-020426927005
Data Scientist,Data Scientist,Ecolab Global Services,3-5 Yrs,Bengaluru,"data scientist, project management, data analysis, data science, mathematics, research, statistics, Analysis",3 days ago,https://www.naukri.com/job-listings-data-scientist-ecolab-global-services-private-limited-bengaluru-3-to-5-years-310326909748
Data Scientist,Data Scientist,Ecolab Global Services,3-5 Yrs,Bengaluru,"data scientist, bs, project management, data science, mathematics, research, statistics, Project",3 days ago,https://www.naukri.com/job-listings-data-scientist-ecolab-global-services-private-limited-bengaluru-3-to-5-years-300326907817
Data Scientist,Data Scientist,GSK India,3-8 Yrs,Bengaluru,"Procurement, Computer science, Data analysis, Consulting, Healthcare, Analytics, Public health, SQL",1 day ago,https://www.naukri.com/job-listings-data-scientist-glaxosmithkline-pharmaceuticals-limited-bengaluru-3-to-8-years-020426508360
Data Scientist,Data Scientist,GSK India,3-8 Yrs,Bengaluru,"Procurement, Computer science, Data analysis, Consulting, Healthcare, Oncology, Analytics, Public health",1 day ago,https://www.naukri.com/job-listings-data-scientist-glaxosmithkline-pharmaceuticals-limited-bengaluru-3-to-8-years-020426508356
Data Scientist,Data Scientist - Finance,Lufthansa Technik AG,4-7 Yrs,Hybrid - Bengaluru(Hebbal),"Azure Cloud, Time Series Analysis, Python, SQL, Matplotlib, Plotly, Machine Learning, Forecasting",1 day ago,https://www.naukri.com/job-listings-data-scientist-finance-lufthansa-technik-ag-bengaluru-4-to-7-years-020426016039
Data Scientist,Data Scientist,ITC Infotech,4-6 Yrs,Bengaluru,"Data Science, Python Development, Python, Data Engineering, Azure Databricks, Machine Learning, Development, Engineering",1 day ago,https://www.naukri.com/job-listings-data-scientist-itc-infotech-bengaluru-4-to-6-years-010426031505
Data Scientist,Data Scientist,Maddisoft Solutions,0-5 Yrs,"Hyderabad, Pune","Power Bi Reports, Regression, Data Visualization, Clustering, Python, Excel, Power Bi, Factoring",1 week ago,https://www.naukri.com/job-listings-data-scientist-maddisoft-solutions-hyderabad-pune-0-to-5-years-171025022506
Data Scientist,Data Scientist-Artificial Intelligence,IBM,3-7 Yrs,Chennai,"data scientist, python, ai solutions, ai frameworks, ai, cloud platforms, machine learning, artificial intelligence",2 days ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-chennai-3-to-7-years-310326922117
Data Scientist,Data Scientist,Infosys,10-14 Yrs,Bengaluru,"data scientist, analytics, data science, machine learning, financial services, communication skills, Data, Machine",2 days ago,https://www.naukri.com/job-listings-data-scientist-infosys-limited-bengaluru-10-to-14-years-310326930987
Data Scientist,Data Scientist,Indifi Technologies,1-4 Yrs,Gurugram,"Credit Bureau, Python, Data scientist, Data analysis, Data science, Advanced Excel, Data mining, CIBIL",1 day ago,https://www.naukri.com/job-listings-data-scientist-indifi-gurugram-1-to-4-years-010426913686
Data Scientist,Data Scientist-Artificial Intelligence,IBM,5-7 Yrs,Bengaluru,"data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap",3 days ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-5-to-7-years-310326910007
Data Scientist,Data Scientist-Artificial Intelligence,IBM,8-10 Yrs,Bengaluru,"data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap",1 day ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-8-to-10-years-010426928350
Data Scientist,Data Scientist-Machine Learning Operations,Leading IT Service and Consulting Organization,3-8 Yrs,"Hybrid - Gurugram, Chennai, Bengaluru","Artificial Intelligence, Machine Learning, Data Science, Aiml, Python, Tensorflow, Natural Language Processing, Scikit-Learn",1 day ago,https://www.naukri.com/job-listings-data-scientist-machine-learning-operations-anlage-infotech-gurugram-chennai-bengaluru-3-to-8-years-020426015381
Data Scientist,Data Scientist-Artificial Intelligence,IBM,8-10 Yrs,Pune,"data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap",1 day ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-pune-8-to-10-years-020426929245
Data Scientist,Data Scientist/Machine Learning,Infosys,5-10 Yrs,Bengaluru,"data scientist, data analytics, supply chain, mathematics, logistics, machine learning, retail, sql",1 week ago,https://www.naukri.com/job-listings-data-scientist-machine-learning-infosys-limited-bengaluru-5-to-10-years-230326930253
Data Scientist,Data Scientist-Artificial Intelligence,IBM,10-15 Yrs,Gurugram,"data scientist, operations, b2b, semiconductor, fabrication, design, manufacturing, mes",1 day ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-gurugram-10-to-15-years-020426929265
Data Scientist,Ai Ml Engineer / Data Scientist,Envision Technologies,6-11 Yrs,"Hybrid - Hyderabad, Pune, Chennai","Artificial Intelligence, Machine Learning, Python, Predictive Modeling, Data Science, Aiml, AWS, Ml",1 day ago,https://www.naukri.com/job-listings-ai-ml-engineer-data-scientist-envision-technology-solutions-hyderabad-pune-chennai-6-to-11-years-010426027509
Data Scientist,"Data Scientist, MAPLE - Recommender System",Amazon,5-10 Yrs,Bengaluru,"Logistic regression, Publishing, Statistical analysis, SAS, Machine learning, Design development, Customer experience, data visualization",2 weeks ago,https://www.naukri.com/job-listings-data-scientist-maple-recommender-system-amazon-development-centre-india-pvt-ltd-bengaluru-5-to-10-years-190326503764
Data Scientist,Data Scientist / ML Engineer,Leading Client,4-9 Yrs,Gurugram,"data scientist, python, ai, pyspark, machine learning, sql, analytics, r",1 day ago,https://www.naukri.com/job-listings-data-scientist-ml-engineer-peoplefy-infosolutions-pvt-ltd-gurugram-4-to-9-years-020426925289
Data Scientist,Data Scientist - A/B Testing & Impact Measurement,Infiniti Research,4-6 Yrs,Hybrid - Bengaluru,"Power Bi, Statistical Analyses, Ab Testing, Ml Algorithms, Python, Statistics, Software testing, Impact",1 day ago,https://www.naukri.com/job-listings-data-scientist-a-b-testing-impact-measurement-infiniti-research-bengaluru-4-to-6-years-010426019997
Data Scientist,Data Scientist,Coface India Credit Management Services,2-7 Yrs,Bengaluru,"Version control, GIT, NoSQL, orchestration, Linux, Machine learning, Apache, SQL",1 day ago,https://www.naukri.com/job-listings-data-scientist-coface-india-credit-management-services-pvt-ltd-bengaluru-2-to-7-years-010426503471
Data Scientist,Data Scientist,Atyati Technologies,2-7 Yrs,Bengaluru,"Banking Sector, Deep Learning, Data Science, Predictive Modeling, Large Language Model, Regression, Machine Learning, Data",Just now,https://www.naukri.com/job-listings-data-scientist-atyati-technologies-bengaluru-2-to-7-years-291225029207
Data Scientist,Data Scientist - India,Infosys,5-9 Yrs,"Hybrid - Hyderabad, Pune, Bengaluru","Data Science, Natural Language Processing, Neural Networks, Computer Vision, Python, Langchain, Langgraph, Artificial Intelligence",1 day ago,https://www.naukri.com/job-listings-data-scientist-india-infosys-hyderabad-pune-bengaluru-5-to-9-years-020426030100
Data Scientist,Data Scientist,S&P Global Market Intelligence,3-5 Yrs,Hyderabad,"data scientist, python, supply chain, cloud solutions, version control, ai, cloud technologies, cloud platform",1 day ago,https://www.naukri.com/job-listings-data-scientist-s-p-capital-iq-india-pvt-ltd-hyderabad-3-to-5-years-010426915298
Data Scientist,Data Scientist,Vidushi Infotech,3-8 Yrs,Hybrid - Bengaluru,"Data Science, Predictive Modeling, Pyspark, Logistic Regression, Artificial Intelligence, Natural Language Processing, LLM, Machine Learning",1 day ago,https://www.naukri.com/job-listings-data-scientist-vidushi-infotech-bengaluru-3-to-8-years-010426021231
Data Scientist,Data Scientist,Applied Materials,6-10 Yrs,Bengaluru,"data scientist, data preprocessing, python, natural language processing, databricks, machine learning, artificial intelligence, deep learning",1 week ago,https://www.naukri.com/job-listings-data-scientist-applied-materials-india-private-limited-bengaluru-6-to-10-years-230326930001
Data Scientist,Data Scientist-Artificial Intelligence,IBM,3-7 Yrs,Bengaluru,"data scientist, python, ai solutions, ai frameworks, ai, cloud platforms, machine learning, artificial intelligence",1 week ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-260326927901
Data Scientist,Data Scientist,Kotson It Solutions,5-6 Yrs,Bengaluru,"Data Science, Agentic AI, Ml, Python, Data, Science, Artificial Intelligence",1 day ago,https://www.naukri.com/job-listings-data-scientist-kotson-it-solutions-bengaluru-5-to-6-years-010426023421
Data Scientist,Data Scientist,Hudson Data,6-10 Yrs,Remote,"Xgboost, Regression Modeling, Gcp Cloud, Python, Ml, Excel, Feature Prioritization, Looker",1 day ago,https://www.naukri.com/job-listings-data-scientist-hudson-data-delhi-ncr-6-to-10-years-020426020740
Data Scientist,Data Scientist,CareerFit.ai,2-6 Yrs,Remote,"Machine Learning, Machine, Data",2 days ago,https://www.naukri.com/job-listings-data-scientist-skima-innovation-private-limited-bengaluru-2-to-6-years-310326035996
Data Scientist,Data Scientist I,Affle,2-3 Yrs,Gurugram,"algorithms, python, hypothesis testing, adtech, mathematics, problem solving, analysis, machine learning",1 day ago,https://www.naukri.com/job-listings-data-scientist-i-affle-gurugram-2-to-3-years-010426500510
Data Scientist,DATA Scientist (AI),Infosys,12-18 Yrs,Hybrid - Bengaluru,"Generative Ai, Data Science, Azure, Cloud, Artificial Intelligence, Data, Microsoft Azure, Science",1 day ago,https://www.naukri.com/job-listings-data-scientist-ai-it-scient-bengaluru-12-to-18-years-020426010472
Data Scientist,Data Scientist,Acenet,3-10 Yrs,Bengaluru,"Change management, Wealth management, Staffing, Analytical, Healthcare, Forecasting, Analytics, Monitoring",3 days ago,https://www.naukri.com/job-listings-data-scientist-acenet-bengaluru-3-to-10-years-300326500819
Data Scientist,Data Scientist,NEC Corporation,3-4 Yrs,Bengaluru,"Telecom, Data analysis, Analytical, Machine learning, NEC, Monitoring, Analytics, SQL",1 day ago,https://www.naukri.com/job-listings-data-scientist-nec-corporation-bengaluru-3-to-4-years-020426509119
Data Scientist,Member Data Scientist,CoStrategix,3-8 Yrs,Bengaluru,"Computer science, Data analysis, data science, Analytical, Machine learning, Hypothesis Testing, data visualization, Analytics",1 day ago,https://www.naukri.com/job-listings-member-data-scientist-costrategix-technologies-pvt-ltd-bengaluru-3-to-8-years-010426505922
Data Scientist,Data Scientist/AI developer,Infosys,9-11 Yrs,"Hyderabad, Pune, Bengaluru","Gen AI, Cloud Exp req, data scientist, ai developer, Cloud, Exp, Development, Artificial Intelligence",Few hours ago,https://www.naukri.com/job-listings-data-scientist-ai-developer-it-scient-hyderabad-pune-bengaluru-9-to-11-years-030426006375
Data Scientist,Data Scientist,Manning Consulting,8-12 Yrs,Bengaluru,"Machine Learning, Python, Predictive Modeling, Predictive, Data, Machine, Modeling",1 day ago,https://www.naukri.com/job-listings-data-scientist-manning-consulting-bengaluru-8-to-12-years-010426014440
Data Scientist,Data Scientist,Bahwan CyberTek,3-7 Yrs,Hybrid - Bengaluru,"LLM, AWS, Data Science, Large Language Model, Retrieval Augmented Generation, Machine Learning, Python, ML Framework",1 day ago,https://www.naukri.com/job-listings-data-scientist-bct-consulting-bengaluru-3-to-7-years-020426010289
Data Scientist,Data Scientist,Team Computers,5-10 Yrs,Remote,"LLM, Data Science, Predictive Modeling, Gen AI, Generative Ai, Artificial Intelligence, Natural Language Processing, Statistical Modeling",1 day ago,https://www.naukri.com/job-listings-data-scientist-team-computers-bengaluru-5-to-10-years-010426033451
